typecode,engines,body_class,model_name
BE18,2,regional,BEECH 18 (piston)
BE19,1,ga,BEECH 19 Musketeer Sport
BE20,2,regional,BEECHCRAFT 200 King Air 250
BE22,1,ga,BEECHCRAFT 220 Denali
BE23,1,ga,BEECH 23 Musketeer
BE24,1,ga,BEECH 24 Musketeer Super
BE30,2,regional,RAYTHEON 300 Super King Air
BE32,2,regional,BERIEV Be-32
BE33,1,ga,BEECH 33 Bonanza
BE35,1,ga,BEECH 35 Bonanza
BE36,1,ga,BEECH 36 Bonanza 36
BE40,2,narrowbody,RAYTHEON Hawker 400XP
BE4W,2,narrowbody,RAYTHEON Hawker 400XT
BE50,2,regional,BEECH 50 Twin Bonanza
BE55,2,regional,BEECH 55 Baron
BE56,2,regional,BEECH 56 Turbo Baron
BE58,2,regional,RAYTHEON 58 Baron
BE60,2,regional,BEECH 60 Duke
BE65,2,regional,BEECH 65 Queen Air
BE70,2,regional,BEECH 70 Queen Air
BE76,2,regional,BEECH 76 Duchess
BE77,1,ga,BEECH 77 Skipper
BE80,2,regional,BEECH 80 Queen Air
BE88,2,regional,BEECH 88 Queen Air
BE95,2,regional,BEECH 95 Travel Air
BE99,2,regional,BEECH 99 Airliner
BE9L,2,regional,BEECH 90 King Air
BE9T,2,regional,BEECH 90 (F90) King Air
BEAR,1,ga,AVIPRO RB-4 Bearhawk
BELF,4,quad,SHORT SC-5 Belfast
BER2,2,narrowbody,BERIEV Be-200 Altair
BER4,2,narrowbody,BERIEV A-40 Albatross
BETA,1,ga,ROLLASON Beta
BEVR,1,ga,ASAP Beaver
BF19,1,ga,PODESVA Bf-109G-2
BFIT,1,ga,BRISTOL F-2B Fighter Replica
BILO,1,ga,PENA Bilouis
BIPL,1,ga,EAA Biplane
BIRD,1,ga,TAYLOR (3) TA-2 Bird
BISC,1,ga,BILSAM Sky Cruiser
BK17,2,heli,MBB-KAWASAKI BK-117
BKUT,1,ga,BERKUT Berkut
BL11,1,ga,BLERIOT 11 Replica
BL17,1,ga,BELLANCA 17 Viking
BL19,1,ga,BELLANCA 19 Skyrocket
BL8,1,ga,BELLANCA 8 Scout
BLBU,1,ga,AMEUR Altania
BLCF,4,quad,BOEING 747-400LCF Dreamlifter
BLEN,2,regional,BRISTOL 149 Blenheim
BLKS,1,ga,AIRCRAFT SPRUCE Baby Lakes
BM6,1,ga,MARANDA BM-6 Lark
BMAN,1,ga,AAK Bushman
BN2P,2,regional,BRITTEN-NORMAN BN-2 Islander
BN2T,2,regional,BRITTEN-NORMAN BN-2T Turbine Islander
BO40,1,ga,BOEING 40
BOLT,1,ga,STEEN Skybolt
